iyear,imonth,iday,provstate,city,latitude,longitude,specificity,location,suicide,target1,gname,nkill,nwound,scite1
2000,11,6,Sindh,Karachi,24.891115,67.143311,1,,0,The Nawa-i-Waqat press group building in Karachi,Unknown,3,6,"""AFX World news update - Death toll stands at two in Karachi bomb attack,” AFX European Focus, November 6, 2000."
2000,11,27,Punjab,Lahore,31.50547,74.34288,1,,0,A bus bound for the suburban town of Burewala,Unknown,0,3,"""Two killed, 21 injured as three bombs rock Pakistani towns,” Agence France Presse, November 27, 2000."
2000,11,27,Punjab,Lahore,31.50547,74.34288,1,,0,A an empty commuter bus at Lahore's bus station,Unknown,0,6,"""Two killed, 21 injured as three bombs rock Pakistani towns,” Agence France Presse, November 27, 2000."
2000,11,27,Punjab,Muridke,31.802201,74.25732,1,,0,An unnamed milk shop in Muridke,Unknown,2,14,"""Two killed, 21 injured as three bombs rock Pakistani towns,” Agence France Presse, November 27, 2000."
2000,12,6,Azad Kashmir,Muzaffarabad,34.35946,73.468877,1,,0,Civilians in a busy marketplace in Muzaffarabad,Unknown,1,15,"""Bomb kills one, injures 20 in Pakistani Kashmir,"" Agence France-Presse, December 6, 2000."
2000,12,25,Punjab,Lahore,31.50547,74.34288,1,,0,"Civilians at a crowded market in Lahore, Pakistan",Unknown,0,36,"Munir, Ahmed, “Terrorist Bombs in Pakistan Injure 45,” Contra Costa Times (California), December 26, 2000."
2000,12,25,Punjab,Faisalabad,31.408822,73.083021,1,,0,"Railway station in Faisalabad, Pakistan",Unknown,0,3,"Munir, Ahmed, “Terrorist Bombs in Pakistan Injure 45,” Contra Costa Times (California), December 26, 2000."
2000,12,25,Sindh,Hyderabad,25.389288,68.357338,1,,0,"Passenger bus in Hyderabad, Pakistan",Unknown,0,6,"Munir, Ahmed, “Terrorist Bombs in Pakistan Injure 45,” Contra Costa Times (California), December 26, 2000."
2000,12,25,Punjab,Kharian,32.813311,73.884332,1,,0,"Civilians in Lahore, Pakistan",Unknown,0,0,"Munir, Ahmed, “Terrorist Bombs in Pakistan Injure 45,” Contra Costa Times (California), December 26, 2000."
2001,2,7,Islamabad Capital Territory,Islamabad,33.671638,73.056068,1,At Pindora intersection that links Islamabad with Rawalpindi,0,Civilians at a bus stand near Islamabad,Unknown,0,4,"""Four hurt in Pakistan bomb blast,"" Agence France-Presse, February 7, 2001."
2001,2,14,Balochistan,Kohlu,29.673863,68.715498,1,,0,A rural police station located in Kohlu,Tribesmen,0,0,"“Terrorists attack levies thana,” Business Recorder, February 15, 2001."
2001,2,26,Balochistan,Quetta,30.200819,66.994354,1,,0,City of Quetta,Unknown,0,0,"“Another rocket fired,” The Pakistan Newswire, February 26, 2001."
2001,2,27,Punjab,Lahore,31.50547,74.34288,1,,0,Civilians at a crowded market in Lahore,Unknown,0,5,"“Five hurt in blast ahead of Sunni extremist execution in Pakistan,” Agence France Presse, February 27, 2001."
2001,3,23,Sindh,Karachi,24.891115,67.143311,1,Outside of the Jame cloth market in Karachi,0,Mini-bus filled with passengers,Unknown,1,9,"""Bomb blast rocks Pakistan's National Day,"" Channelnewsasia, March 25, 2001."
2001,3,24,Sindh,Karachi,24.891115,67.143311,1,,0,Camp for Shiite Muslims preparing for Muharram,Unknown,1,3,"""Two killed, 12 injured in two explosions in Pakistan,"" Agence France-Presse, March 24, 2001."
2001,3,24,North-West Frontier Province,Dera Ismail Khan,31.834328,70.90905,1,,0,Sunni mosque and worshippers,Unknown,1,7,"""Two killed, 12 injured in two explosions in Pakistan,"" Agence France-Presse, March 24, 2001."
2001,3,25,Punjab,Okara,30.807929,73.450466,1,,0,Vendor in Okara,Unknown,0,1,"""Two bombs rock Pakistani town, boy hurt,"" Agence France-Presse, March 25, 2001."
2001,3,25,Punjab,Okara,30.807929,73.450466,1,,0,Railway in Okara,Unknown,0,0,"""Two bombs rock Pakistani town, boy hurt,"" Agence France-Presse, March 25, 2001."
2001,4,7,Punjab,Gujranwala,32.156489,74.187658,1,A railroad track 27 miles outside of Lahore,0,Railroad tracks outside Gujranwala,Unknown,0,1,"""Bomb explodes on railway track, injures one,"" Associated Press, April 7, 2001,"
2001,4,18,Sindh,Karachi,24.891115,67.143311,1,,0,"Indiscriminate civilians in the Clifton area of Karachi, Pakistan",Muttahida Qami Movement (MQM),2,,"Zahid Hussain, “Bomb kills two at start of protest strike in southern Sin EDS: ADDs background details,” Associated Press Worldstream, April 18, 2001."
2001,4,23,Islamabad Capital Territory,Islamabad,33.671638,73.056068,1,,0,Vendors and customers in the vicinity of the explosion,Afghans,0,25,"""Bomb explosion wounds 20 people in Islamabad,"" Associated Press, April 23, 2001."
2001,5,3,Azad Kashmir,Muzaffarabad,34.35946,73.468877,1,,0,Abshar movie theater and patrons,Unknown,1,14,"""Cinema bomb kills one in Pakistani Kashmir,"" Reuters, May 3, 2001."
2001,5,7,Sindh,Karachi,24.891115,67.143311,1,Deso Hall area,0,"A mini-bus and passengers in Deso Hall, Karachi",Unknown,1,5,"""One killed in Pakistan bus bomb blast,"" Reuters, May 7, 2001."
2001,5,9,Balochistan,Sunny Shoran,29.566768,67.759224,2,Sibi district,0,"Pong Weixing, two local guards, and a Pakistani driver",Unknown,1,3,"""China firm halts oil survey after Pakistan ambush,"" Reuters, May 10, 2001."
2001,5,31,Punjab,Rawalpindi,33.671638,73.056068,1,,0,A Pirwadhai bus station in Pakistan,Unknown,0,11,"""At least 11 people injured by bomb blast at Pakistan bus station,"" Deutsche Presse-Agentur, May 31, 2001."
2001,6,13,Sindh,Karachi,24.891115,67.143311,1,Clifton area,0,Tandoori Hut restaurant and the five patrons,Unknown,5,0,"""Policemen killed, 10 injured as bombs rock Karachi during strike,"" Agence France-Presse, June 13, 2001."
2001,7,1,Sindh,Karachi,24.891115,67.143311,1,,0,Civillians in a cinema in Karachi,Unknown,5,8,"""Two killed, dozen injured in Karachi cinema blast and violence,"" Agence Presse France, July 02, 2001."
2001,7,20,Sindh,Karachi,24.891115,67.143311,1,,0,Pakistani civilians in Karachi,Unknown,2,16,"""Bomb injures eight in Pakistan,"" Agence France Presse, July 20, 2001."
2001,7,20,North-West Frontier Province,Kabal,34.79216,72.284279,1,,0,Offices of Ariana Afghan Airlines,Unknown,0,0,"""Reuters world news highlights 1400 GMT July 20,"" Reuters, July 20, 2001."
2001,7,20,North-West Frontier Province,Kabal,34.79216,72.284279,1,The Kabul Hotel,0,Kabul Hotel and patrons,Unknown,0,0,"""Reuters world news highlights 1400 GMT July 20,"" Reuters, July 20, 2001."
2001,8,1,Sindh,Karachi,24.891115,67.143311,1,,0,"Muslim Commercial Bank in Karachi, Pakistan",Unknown,0,0,"“Jaish-e-Muhammad activist killed in Karachi,” The Press Trust of India, August 1, 2001."
2001,8,8,Punjab,Narowal district,32.271924,75.062027,3,,0,Muhammad Jamil,Unknown,1,3,"“District (Sialkot): Bomb blast claims one life,” The Pakistan Newswire, August 9, 2001."
2001,8,11,Punjab,Gujrat,32.572323,74.076622,1,,0,A Private School in Gujrat,Unknown,7,7,"“World briefs,” The Houston Chronicle, August 12, 2001."
2001,8,13,Balochistan,Quetta,30.200819,66.994354,1,,0,"Civilians in a Quetta, Pakististan Marketplace",Unknown,3,16,"“World,” St. Louis Post-Dispatch (Missouri), August 14, 2001."
2001,8,17,Sindh,Karachi,24.891115,67.143311,1,,0,"Pesh Imam of Khorason Mosque in Jamshed Town, Pakistan",Unknown,1,0,"“Nazim Jamshed Town lambaste terrorist attack,” The Pakistan Newswire, August 20, 2001."
2001,8,17,Punjab,Gujranwala,32.156489,74.187658,1,,0,"Police Station in Gujranwala, Punjab Province, Pakistan",Unknown,2,0,"B. Muralidhar Reddy, “Blast in Lahore market,” The Hindu, August 21, 2001."
2001,8,17,Sindh,Karachi,24.891115,67.143311,1,,0,"Civilians in a Karachi, Pakistan Market",Unknown,1,7,"“Child killed in terrorist act in Karachi,” RIA Novosti, August 18, 2001."
2001,8,20,Punjab,Lahore,31.50547,74.34288,1,,0,"Civilians in Lahore, Pakistan",Unknown,0,14,"“Foreign Briefs,” Telegraph Herald (Dubuque, IA), August 21, 2001."
2001,8,22,Azad Kashmir,Muzaffarabad,34.35946,73.468877,1,,0,Kawajabazar Market,Unknown,0,8,"“Blast in Pakistan-administered Kashmir injures eight,” Deutsche Presse-Agentur, August 22, 2001."
2001,9,19,Punjab,Sialkot,32.493537,74.530343,1,,0,Market area in the town of Sialkot,Unknown,2,40,"""Pakistan: Police Say Bomb Blast Near India Border Kills Two, Injures At Least 40,” Agence France Presse, September 19, 2001."
2001,10,28,Balochistan,Quetta,30.200819,66.994354,1,,0,Bus in Quetta,Unknown,2,18,"""Two Dead, 18 Injured in Pakistan Bus Bombing,” Agence France Presse, October 28, 2001."
2002,1,1,Sindh,Karachi,24.891115,67.143311,1,,0,"Pakistani civilians in a nightclub called, ""Area-51"", in the southern district of Clifton in Karachi, Pakistan",Unknown,0,12,"“Car bomb injures 12 in Pakistani city,” Agence France Presse, January 1, 2002."
2002,1,24,Islamabad Capital Territory,Islamabad,33.671638,73.056068,1,The British High Commission in Islamabad,0,The British High Commission building in Islamabad,Muslim extremists,0,0,"""Small bomb explosion outside British High Commission in Islamabad EDS; UPDATES with British minister's statement,"" Associated Press, January 24, 2002."
2002,3,17,Islamabad Capital Territory,Islamabad,33.671638,73.056068,1,,0,"Indiscriminate civilians inside a church located in Islamabad, Pakistan",Al-Qaida,5,46,"Ahmed Rashid, “Suicide Bomber Kills 5 in Pakistan Church: American Mother and Her Daughter Die in Sunday Attack,” The Vancouver Sun, March 18, 2002."
2002,4,1,Balochistan,Chaman,30.92211,66.45153,1,On the border of Afghanistan,0,Muslim civilians leaving a mosque,Unknown,2,35,"""Two killed - 35 wounded in a grenade attack on worshippers in Pakistan,"" Associated Press, April 2, 2002."
2002,4,1,Federally Administered Tribal Areas,Spenki Raghzai,32.742599,69.521949,1,230 miles southwest of Peshawar,0,Civilians on a bus in Spenki Raghzai,Unknown,2,12,"""Pakistan bomb on bus kills 2,"" Associated Press, April 1, 2002."
2002,4,25,Punjab,Bhakkar District,31.622536,71.11135,3,,0,Worshippers at a mosque in Bhakkar,Unknown,12,20,"Seth Mydans, ""Bomb in Pakistan mosque kills 12 and hurts dozens,"" The New York Times, 04/27/2002."
2002,5,1,Sindh,Karachi,24.891115,67.143311,1,,0,Al-Khair Juice Center,Muttahida Qami Movement (MQM),0,4,"“Blasts, Arson, Rock Karachi in Wake of Strike Call by Ethnic Party,” The News, May 2, 2002."
2002,5,1,Sindh,Karachi,24.891115,67.143311,1,,0,Shaheen Masala Store,Muttahida Qami Movement (MQM),0,16,"“Blasts, Arson, Rock Karachi in Wake of Strike Call by Ethnic Party,” The News, May 2, 2002."
2002,5,2,Sindh,Karachi,24.891115,67.143311,1,,0,Shop,Muttahida Qami Movement (MQM),1,5,"“One Killed in Pakistan Bomb Madness,” Agence France Presse, May 2, 2002"
2002,5,2,Sindh,Karachi,24.891115,67.143311,1,,0,A Music Shop located in Karachi's southern district,Muttahida Qami Movement (MQM),0,0,"“One Killed in Pakistan Bomb Madness,” Agence France Presse, May 2, 2002"
2002,5,5,Sindh,Jacobabad,28.280021,68.440408,1,,0,A police post in Jacobabad,Unknown,1,3,"“Pakistan: Rocket attack on police post in Jacobabad kills 1, injures 3,” Rwalpindi Jang, May 5, 2002."
2002,5,5,Balochistan,Mach,29.855375,67.339928,1,,0,Frontier Corps post near Mach,Unknown,0,0,"“Pakistan: Rocket attack on police post in Jacobabad kills 1, injures 3,” Rwalpindi Jang, May 5, 2002."
2002,5,7,Federally Administered Tribal Areas,Miran Shah,33.006516,70.068253,1,,0,US Intelligence officials stationed in North Waziristan,Unknown,0,0,"“AFP: Rocket Fired at Building Housing U.S. Agents in Pakistan,” Agence France Presse, May 12, 2002."
2002,5,8,Sindh,Karachi,24.891115,67.143311,1,,1,French military personnel in Pakistan,Al-Qaida,14,20,"“Traces of Terrorism: The Pakistan Bombing; 2 Deadly Attacks Show Signs of a Qaeda Revival,” New York Times, May 18, 2002."
2002,6,14,Sindh,Karachi,24.891115,67.143311,1,,1,U.S. Embassy in Karachi,Lashkar-e-Omar,12,51,"Robert Schlesinger and Absar Alam, “Suicide Attack on U.S. Offices in Pakistan Leaves 11 Dead,” Boston Globe, June 15, 2002."
2002,7,13,North-West Frontier Province,Mansehra,34.774479,72.364052,1,,0,"Tourists in Mansehra, Pakistan",Unknown,0,12,"""Nine European Tourists Injured in Pakistan Grenade Attack,"" Agence Presse France, July 13, 2002."
2002,8,9,Punjab,Taxila,33.739647,72.802071,1,,0,Christian patients in a hospital in Taxila,Al-Intiqami al-Pakistani,4,20,"“Four dead in grenade attack on Pakistan hospital,” Channel News Asia. August 9, 2002."
2002,9,15,Sindh,Hyderabad,25.389288,68.357338,1,A Karachi-bound bus that had just left Hyderabad and was passing through suburb of Mehrab Colony,0,Civilians on board a bus in Hyderabad,Al-Qaida,1,5,"Hamid Sheikh, ""UPDATE 3- One dead, five wounded in Pakistan bus bomb,"" Reuters News, September 15, 2002."
2002,9,29,Balochistan,Sibi,29.548279,67.879189,1,160 kilometers east of Quetta,0,A non-denominational church in a Christian community in Sibi district,Muslim extremists,0,0,"Abdul Sattar, ""Bomb explodes outside of church after thousands gather to protest Christian killings,"" Associated Press Newswires, September 29, 2002."
2002,10,4,North-West Frontier Province,Bannu,32.987347,70.602524,1,"The Christian hospital in Bannu, 50 kilometers east of Afghanistan and 240 kilometers southwest of Islamabad",0,A Christian hospital in Bannu,Youths,0,0,"""Christian hospital attacked in Pakistan, no casualties [Corrected 10/04/02],"" Agence France-Presse, October 4, 2002."
2002,10,16,Sindh,Karachi,24.891115,67.143311,1,,0,"Crime Investigation Department (CID) office in Karachi, Pakistan",Lashkar-e-Jhangvi,0,2,"“Postal Bomb Explodes in Office of al-Qaeda Investigators,” Agence France Presse, October 16, 2002."
2002,10,16,Sindh,Karachi,24.891115,67.143311,1,,0,"Sindh Home Department in Karachi, Pakistan",Lashkar-e-Jhangvi,0,4,"“Postal Bomb Explodes in Office of al-Qaeda Investigators,” Agence France Presse, October 16, 2002."
2002,10,16,Sindh,Karachi,24.891115,67.143311,1,,0,"Deputy Inspector General's office in Karachi, Pakistan",Lashkar-e-Jhangvi,0,3,"“Postal Bomb Explodes in Office of al-Qaeda Investigators,” Agence France Presse, October 16, 2002."
2002,10,23,Punjab,Rawalpindi,33.594013,73.069077,1,,0,"Civilians at a market in Rawalpindi, Pakistan",Unknown,0,7,"Bhatti, Ahmad, “Rawalpindi Bomb Blast Occurs Despite Enhanced Security Measures,” Karachi Islam, October 25, 2002."
2002,11,15,Sindh,Hyderabad,25.389288,68.357338,1,On Resala Road,0,A bus in Hyderabad,Unknown,2,9,"""Pakistan Bus Bomb in Hyderabad Kills Two,"" PTV World, November 15, 2002"
2002,12,5,Sindh,Karachi,24.891115,67.143311,1,,0,"The Macedonian consulate in Karachi, Pakistan",Harakat ul-Mujahidin Al-Almi,3,0,"“Nine Pakistani militants get life sentences for 2002 attack on Macedonian consulate,” Associated Press Worldstream, August 25, 2004."
2002,12,25,Punjab,Daska,32.332012,74.351623,1,,0,United Presbyterian church,Jaish-e-Mohammad (JeM),3,15,"“Three Killed, 15 Injured in Church Bombing in Pakistan's Punjab Province,” AFP, December 25, 2002."
2003,2,3,Sindh,Karachi,24.891115,67.143311,1,,0,Pakistan State Oil Headquarters in Karachi,Unknown,1,2,"Avaz Gul, ""Bomb Kills 1, Injures Several Others in Pakistan,"" VOA News, February 3, 2003."
2003,4,8,Islamabad Capital Territory,Islamabad,33.671638,73.056068,1,,0,Two main pipelines in Central Pakistan,Unknown,0,,"""Kyodo: Rocket Attack Blows Up 2 Main Pipelines in Pakistan,"" Tokyo Kyodo, April 8, 2003."
2003,5,5,North-West Frontier Province,Tank,32.209442,70.383537,1,,0,"A Christian hospital staffed by Westerners in Tank, a city in north-west Pakistan",Unknown,0,0,"""Bomb explodes outside Christian hospital in north-west Pakistan,"" Agence France Presse, May 06, 2003."
2003,5,10,Sindh,Hyderabad,25.389288,68.357338,1,,0,"Indiscriminate civilians riding on a passenger bus in Hyderabad, Pakistan",Unknown,0,6,"""Six people wounded in bomb explosion in southern Pakistan,"" Deutsche Presse-Agentur, May 10, 2003."
2003,5,13,North-West Frontier Province,Bannu,32.987347,70.602524,1,,0,"A Christian missionary school in Bannu, Pakistan",Unknown,0,0,"""Bomb attack at school,"" The Irish News, May 14, 2003."
2003,5,15,Sindh,Karachi,24.891115,67.143311,1,,0,"18 petrol stations owned by the Anglo-Dutch Shell company in Karachi, Pakistan",Muslim United Army (MUA),0,7,"""Blasts at 18 petrol stations in Pakistan's Karachi, minor damage caused,"" Agence France Presse, May 15, 2003."
2003,5,31,Sindh,Hyderabad,25.389288,68.357338,1,,0,"Indiscriminate civilians traveling on bus in Hyderabad, Pakistan",Unknown,0,4,"""Bomb blast in bus injures four in southern Pakistan,"" Deutsche Presse-Agentur, May 31, 2003."
